Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,SeasonKey,Weight
25/02/17,Alaves,Valencia,2,1,H,2016-17,16,0.6
25/02/17,Betis,Sevilla,1,2,A,2016-17,16,0.6
25/02/17,Eibar,Malaga,3,0,H,2016-17,16,0.6
25/02/17,Leganes,La Coruna,4,0,H,2016-17,16,0.6
26/02/17,Ath Bilbao,Granada,3,1,H,2016-17,16,0.6
26/02/17,Ath Madrid,Barcelona,1,2,A,2016-17,16,0.6
26/02/17,Espanol,Osasuna,3,0,H,2016-17,16,0.6
26/02/17,Sp Gijon,Celta,1,1,D,2016-17,16,0.6
26/02/17,Villarreal,Real Madrid,2,3,A,2016-17,16,0.6
28/02/17,Malaga,Betis,1,2,A,2016-17,16,0.6
28/02/17,Sociedad,Eibar,2,2,D,2016-17,16,0.6
28/02/17,Valencia,Leganes,1,0,H,2016-17,16,0.6
01/03/17,Barcelona,Sp Gijon,6,1,H,2016-17,16,0.6
01/03/17,Celta,Espanol,2,2,D,2016-17,16,0.6
01/03/17,Granada,Alaves,2,1,H,2016-17,16,0.6
01/03/17,Osasuna,Villarreal,1,4,A,2016-17,16,0.6
01/03/17,Real Madrid,Las Palmas,3,3,D,2016-17,16,0.6
02/03/17,La Coruna,Ath Madrid,1,1,D,2016-17,16,0.6
02/03/17,Sevilla,Ath Bilbao,1,0,H,2016-17,16,0.6
03/03/17,Betis,Sociedad,2,3,A,2016-17,16,0.6
04/03/17,Barcelona,Celta,5,0,H,2016-17,16,0.6
04/03/17,Eibar,Real Madrid,1,4,A,2016-17,16,0.6
04/03/17,Leganes,Granada,1,0,H,2016-17,16,0.6
04/03/17,Villarreal,Espanol,2,0,H,2016-17,16,0.6
05/03/17,Ath Bilbao,Malaga,1,0,H,2016-17,16,0.6
05/03/17,Ath Madrid,Valencia,3,0,H,2016-17,16,0.6
05/03/17,Las Palmas,Osasuna,5,2,H,2016-17,16,0.6
05/03/17,Sp Gijon,La Coruna,0,1,A,2016-17,16,0.6
06/03/17,Alaves,Sevilla,1,1,D,2016-17,16,0.6
08/03/17,La Coruna,Betis,1,1,D,2016-17,16,0.6
10/03/17,Espanol,Las Palmas,4,3,H,2016-17,16,0.6
11/03/17,Granada,Ath Madrid,0,1,A,2016-17,16,0.6
11/03/17,Malaga,Alaves,1,2,A,2016-17,16,0.6
11/03/17,Sevilla,Leganes,1,1,D,2016-17,16,0.6
11/03/17,Valencia,Sp Gijon,1,1,D,2016-17,16,0.6
12/03/17,Celta,Villarreal,0,1,A,2016-17,16,0.6
12/03/17,La Coruna,Barcelona,2,1,H,2016-17,16,0.6
12/03/17,Real Madrid,Betis,2,1,H,2016-17,16,0.6
