Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,SeasonKey,Weight
29/01/17,Sassuolo,Juventus,0,2,A,2016-17,16,0.6
29/01/17,Torino,Atalanta,1,1,D,2016-17,16,0.6
29/01/17,Udinese,Milan,2,1,H,2016-17,16,0.6
01/02/17,Pescara,Fiorentina,1,2,A,2016-17,16,0.6
04/02/17,Bologna,Napoli,1,7,A,2016-17,16,0.6
05/02/17,Atalanta,Cagliari,2,0,H,2016-17,16,0.6
05/02/17,Chievo,Udinese,0,0,D,2016-17,16,0.6
05/02/17,Empoli,Torino,1,1,D,2016-17,16,0.6
05/02/17,Genoa,Sassuolo,0,1,A,2016-17,16,0.6
05/02/17,Juventus,Inter,1,0,H,2016-17,16,0.6
05/02/17,Milan,Sampdoria,0,1,A,2016-17,16,0.6
05/02/17,Palermo,Crotone,1,0,H,2016-17,16,0.6
05/02/17,Pescara,Lazio,2,6,A,2016-17,16,0.6
07/02/17,Roma,Fiorentina,4,0,H,2016-17,16,0.6
08/02/17,Bologna,Milan,0,1,A,2016-17,16,0.6
08/02/17,Crotone,Juventus,0,2,A,2016-17,16,0.6
10/02/17,Napoli,Genoa,2,0,H,2016-17,16,0.6
11/02/17,Fiorentina,Udinese,3,0,H,2016-17,16,0.6
12/02/17,Cagliari,Juventus,0,2,A,2016-17,16,0.6
12/02/17,Crotone,Roma,0,2,A,2016-17,16,0.6
12/02/17,Inter,Empoli,2,0,H,2016-17,16,0.6
12/02/17,Palermo,Atalanta,1,3,A,2016-17,16,0.6
12/02/17,Sampdoria,Bologna,3,1,H,2016-17,16,0.6
12/02/17,Sassuolo,Chievo,1,3,A,2016-17,16,0.6
12/02/17,Torino,Pescara,5,3,H,2016-17,16,0.6
13/02/17,Lazio,Milan,1,1,D,2016-17,16,0.6
17/02/17,Juventus,Palermo,4,1,H,2016-17,16,0.6
18/02/17,Atalanta,Crotone,1,0,H,2016-17,16,0.6
18/02/17,Empoli,Lazio,1,2,A,2016-17,16,0.6
19/02/17,Bologna,Inter,0,1,A,2016-17,16,0.6
19/02/17,Chievo,Napoli,1,3,A,2016-17,16,0.6
19/02/17,Milan,Fiorentina,2,1,H,2016-17,16,0.6
19/02/17,Pescara,Genoa,5,0,H,2016-17,16,0.6
19/02/17,Roma,Torino,4,1,H,2016-17,16,0.6
19/02/17,Sampdoria,Cagliari,1,1,D,2016-17,16,0.6
19/02/17,Udinese,Sassuolo,1,2,A,2016-17,16,0.6
25/02/17,Juventus,Empoli,2,0,H,2016-17,16,0.6
25/02/17,Napoli,Atalanta,0,2,A,2016-17,16,0.6
26/02/17,Chievo,Pescara,2,0,H,2016-17,16,0.6
